Species,Subject,Date,Time,Phase,Block,Trial,ConfigID,Correct1,Correct2,Correct3,Response1,Response2,Response3,RT1,RT2,RT3,ACC1,ACC2,ACC3,Score,Score2,Condition
Human,EZ_06,2017-09-26,13:25:22,Exp,1,1,7,TopRight,TopLeft,BottomRight,TopRight,TopLeft,BottomRight,1093,886,1530,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:25:28,Exp,1,2,16,BottomLeft,BottomRight,TopLeft,BottomLeft,BottomRight,TopLeft,1107,778,963,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:25:35,Exp,1,3,5,TopLeft,BottomRight,BottomLeft,TopLeft,BottomRight,BottomLeft,1260,951,1253,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:25:42,Exp,1,4,0,TopLeft,TopRight,BottomLeft,TopLeft,TopRight,BottomLeft,1069,954,1364,1,1,1,1,0,PROBE
Human,EZ_06,2017-09-26,13:25:47,Exp,1,5,2,TopLeft,BottomLeft,TopRight,TopLeft,BottomLeft,TopRight,901,864,813,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:25:53,Exp,1,6,13,BottomLeft,TopLeft,BottomRight,BottomLeft,TopLeft,BottomRight,1089,746,1189,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:25:59,Exp,1,7,23,BottomRight,BottomLeft,TopRight,BottomRight,BottomLeft,TopRight,1021,727,759,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:26:04,Exp,1,8,18,BottomRight,TopLeft,TopRight,BottomRight,TopLeft,TopRight,1023,830,729,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:26:10,Exp,1,9,21,BottomRight,TopRight,BottomLeft,BottomRight,TopRight,BottomLeft,847,727,1207,1,1,1,1,0,PROBE
Human,EZ_06,2017-09-26,13:26:16,Exp,1,10,19,BottomRight,TopLeft,BottomLeft,BottomRight,TopLeft,BottomLeft,1067,882,1188,1,1,1,1,0,PROBE
Human,EZ_06,2017-09-26,13:26:22,Exp,1,11,12,BottomLeft,TopLeft,TopRight,BottomLeft,TopLeft,TopRight,918,694,743,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:26:28,Exp,1,12,15,BottomLeft,TopRight,BottomRight,BottomLeft,TopRight,BottomRight,914,759,1122,1,1,1,1,0,PROBE
Human,EZ_06,2017-09-26,13:26:34,Exp,1,13,11,TopRight,BottomRight,BottomLeft,TopRight,BottomRight,BottomLeft,916,781,1344,1,1,1,1,0,PROBE
Human,EZ_06,2017-09-26,13:26:41,Exp,1,14,14,BottomLeft,TopRight,TopLeft,BottomLeft,TopRight,TopLeft,1459,794,1064,1,1,1,1,0,PROBE
Human,EZ_06,2017-09-26,13:26:47,Exp,1,15,9,TopRight,BottomLeft,BottomRight,TopRight,BottomLeft,BottomRight,1305,936,1320,1,1,1,1,0,BASE
Human,EZ_06,2017-09-26,13:26:53,Exp,1,16,20,BottomRight,TopRight,TopLeft,BottomRight,TopRight,TopLeft,898,733,780,1,1,1,1,0,BASE
